title,start,end,skill,demand
dev,2024-07-01T08:00:00,2024-07-01T16:00:00,dev,9
hr,2024-07-01T08:00:00,2024-07-01T16:00:00,hr,2
tech,2024-07-01T08:00:00,2024-07-01T16:00:00,tech,7
dev,2024-07-01T16:00:00,2024-07-02T00:00:00,dev,6
hr,2024-07-01T16:00:00,2024-07-02T00:00:00,hr,7
tech,2024-07-01T16:00:00,2024-07-02T00:00:00,tech,7
dev,2024-07-01T00:00:00,2024-07-01T08:00:00,dev,5
hr,2024-07-01T00:00:00,2024-07-01T08:00:00,hr,8
tech,2024-07-01T00:00:00,2024-07-01T08:00:00,tech,5
dev,2024-07-02T08:00:00,2024-07-02T16:00:00,dev,6
hr,2024-07-02T08:00:00,2024-07-02T16:00:00,hr,4
tech,2024-07-02T08:00:00,2024-07-02T16:00:00,tech,4
dev,2024-07-02T16:00:00,2024-07-03T00:00:00,dev,9
hr,2024-07-02T16:00:00,2024-07-03T00:00:00,hr,7
tech,2024-07-02T16:00:00,2024-07-03T00:00:00,tech,3
dev,2024-07-02T00:00:00,2024-07-02T08:00:00,dev,10
hr,2024-07-02T00:00:00,2024-07-02T08:00:00,hr,2
tech,2024-07-02T00:00:00,2024-07-02T08:00:00,tech,6
dev,2024-07-03T08:00:00,2024-07-03T16:00:00,dev,1
hr,2024-07-03T08:00:00,2024-07-03T16:00:00,hr,10
tech,2024-07-03T08:00:00,2024-07-03T16:00:00,tech,7
dev,2024-07-03T16:00:00,2024-07-04T00:00:00,dev,8
hr,2024-07-03T16:00:00,2024-07-04T00:00:00,hr,4
tech,2024-07-03T16:00:00,2024-07-04T00:00:00,tech,3
dev,2024-07-03T00:00:00,2024-07-03T08:00:00,dev,3
hr,2024-07-03T00:00:00,2024-07-03T08:00:00,hr,5
tech,2024-07-03T00:00:00,2024-07-03T08:00:00,tech,9
dev,2024-07-04T08:00:00,2024-07-04T16:00:00,dev,9
hr,2024-07-04T08:00:00,2024-07-04T16:00:00,hr,6
tech,2024-07-04T08:00:00,2024-07-04T16:00:00,tech,4
dev,2024-07-04T16:00:00,2024-07-05T00:00:00,dev,10
hr,2024-07-04T16:00:00,2024-07-05T00:00:00,hr,8
tech,2024-07-04T16:00:00,2024-07-05T00:00:00,tech,2
dev,2024-07-04T00:00:00,2024-07-04T08:00:00,dev,2
hr,2024-07-04T00:00:00,2024-07-04T08:00:00,hr,2
tech,2024-07-04T00:00:00,2024-07-04T08:00:00,tech,10
dev,2024-07-05T08:00:00,2024-07-05T16:00:00,dev,8
hr,2024-07-05T08:00:00,2024-07-05T16:00:00,hr,4
tech,2024-07-05T08:00:00,2024-07-05T16:00:00,tech,9
dev,2024-07-05T16:00:00,2024-07-06T00:00:00,dev,5
hr,2024-07-05T16:00:00,2024-07-06T00:00:00,hr,8
tech,2024-07-05T16:00:00,2024-07-06T00:00:00,tech,2
dev,2024-07-05T00:00:00,2024-07-05T08:00:00,dev,9
hr,2024-07-05T00:00:00,2024-07-05T08:00:00,hr,6
tech,2024-07-05T00:00:00,2024-07-05T08:00:00,tech,1
dev,2024-07-06T08:00:00,2024-07-06T16:00:00,dev,8
hr,2024-07-06T08:00:00,2024-07-06T16:00:00,hr,4
tech,2024-07-06T08:00:00,2024-07-06T16:00:00,tech,3
dev,2024-07-06T16:00:00,2024-07-07T00:00:00,dev,9
hr,2024-07-06T16:00:00,2024-07-07T00:00:00,hr,10
tech,2024-07-06T16:00:00,2024-07-07T00:00:00,tech,8
dev,2024-07-06T00:00:00,2024-07-06T08:00:00,dev,1
hr,2024-07-06T00:00:00,2024-07-06T08:00:00,hr,8
tech,2024-07-06T00:00:00,2024-07-06T08:00:00,tech,6
dev,2024-07-07T08:00:00,2024-07-07T16:00:00,dev,1
hr,2024-07-07T08:00:00,2024-07-07T16:00:00,hr,6
tech,2024-07-07T08:00:00,2024-07-07T16:00:00,tech,7
dev,2024-07-07T16:00:00,2024-07-08T00:00:00,dev,3
hr,2024-07-07T16:00:00,2024-07-08T00:00:00,hr,6
tech,2024-07-07T16:00:00,2024-07-08T00:00:00,tech,1
dev,2024-07-07T00:00:00,2024-07-07T08:00:00,dev,2
hr,2024-07-07T00:00:00,2024-07-07T08:00:00,hr,8
tech,2024-07-07T00:00:00,2024-07-07T08:00:00,tech,2
